Pharmanummer;Handelsname;Mengenangabe;Mengenart
1342464;MUCOBENE LSB TBL 200MG;20;ST
1342470;MUCOBENE LSB TBL 600MG;10;ST
1342659;CEFASTAD TRSFT 250MG/5ML;60;ML
1342665;TRAMASTAD AMP 100MG/2ML;5;ST
1342671;TRAMASTAD TR 100MG/ML;10;ML
1342688;TRAMASTAD TR 100MG/ML;30;ML
1342694;TRAMASTAD TR 100MG/ML;50;ML
1342702;TRAMASTAD KPS 50MG;10;ST
1342719;TRAMASTAD KPS 50MG;30;ST
1342725;FLOXACIN FTBL 400MG;10;ST
1342731;FLOXACIN FTBL 400MG;20;ST
1342754;TEVETEN FTBL 600MG;28;ST
1342872;PROSTA URGENIN KPS;30;ST
1342889;ENALAPRILMAL.ARC TBL  5MG;28;ST
1342895;ENALAPRILMAL.ARC TBL 10MG;28;ST
1342903;ENALAPRILMAL.ARC TBL 20MG;28;ST
1342955;ZEFFIX FTBL 100MG;84;ST
1343280;CLIMEN DRG 28 TAGE;28;ST
1343334;LOMEXIN CR 2%;30;G
1343400;TRITTICO RET TBL 150MG;20;ST
1343417;TRITTICO RET TBL 150MG;60;ST
1343423;TRITTICO RET TBL  75MG;30;ST
1343529;SCANLUX IJLSG 300MG  50ML;1;ST
1343558;SCANLUX IJLSG 300MG 100ML;1;ST
1344032;ALCOVER SIR;140;ML
1344049;COMPENSAN RET FTBL 200MG;10;ST
1344055;COMPENSAN RET FTBL 200MG;30;ST
1344061;CAL-D-VITA KTBL;60;ST
1344150;LUIVAC TBL;28;ST
1344167;LUIVAC TBL;56;ST
1344397;SIFROL TBL 0,35MG;30;ST
1344405;SIFROL TBL 0,35MG;100;ST
1344411;ZYPREXA UEBERZ.TBL 15MG;28;ST
1344434;AEROCORTIN AUTOHALER 100MCG;10;ML
1344440;AEROCORTIN AUTOHALER  50MCG;10;ML
1344457;LOMEXIN VAGINALKPS 600MG;1;ST
1344486;AVELOX FTBL 400MG;5;ST
1344492;AVELOX FTBL 400MG;7;ST
1344641;AMOXIPLUS RTP FTBL 625MG;12;ST
1344658;AMOXIPLUS RTP TRSFT 156,25MG;60;ML
1344664;AMOXIPLUS RTP TRSFT 156,25MG;120;ML
1344670;AMOXIPLUS RTP TRSFT 312,5MG;60;ML
1344687;AMOXIPLUS RTP TRSFT 312,5MG;120;ML
1344859;PROGRAF KPS 0,5MG;50;ST
1344888;UROMITEXAN FTBL 400MG;10;ST
1344894;UROMITEXAN FTBL 400MG;20;ST
1345037;ESTALIS TRA PFL 50/250;8;ST
1345072;TOBI LSG VERNEBLER 300MG/5ML;56;ST
1345273;THIOCTACID 600MG AMP;5;ST
1345474;DOLPASSE RET FTBL 100MG;10;ST
1345480;DOLPASSE RET FTBL 100MG;30;ST
1345497;DOLPASSE RET FTBL 100MG;50;ST
1345557;TRIZIVIR FTBL;60;ST
1345758;NEXIUM MSR TBL 20MG;7;ST
1345764;NEXIUM MSR TBL 20MG;14;ST
1345793;NEXIUM MSR TBL 40MG;14;ST
1345847;NOVOMIX 30 PENFILL;5;ST
1346108;EFECTIN ER KPS  75MG;30;ST
1346120;EFECTIN ER KPS 150MG;30;ST
1346315;SOLIAN TBL  50MG;50;ST
1346321;SOLIAN TBL  50MG;100;ST
1346338;SOLIAN TBL 200MG;50;ST
1346344;SOLIAN TBL 200MG;100;ST
1346568;JODID MER TBL 100MCG;50;ST
1346574;JODID MER TBL 100MCG;100;ST
1346628;ENALAPRIL RTP TBL  5MG;30;ST
1346634;ENALAPRIL RTP TBL 10MG;30;ST
1346640;ENALAPRIL RTP TBL 20MG;30;ST
1346686;METFORMIN RTP FTBL  850MG;30;ST
1346692;METFORMIN RTP FTBL  850MG;100;ST
1346700;CEREZYME PLV ILSG 400U;1;ST
1346918;SYMBICORT TURBOH. 80 MTE 60;1;ST
1346924;SYMBICORT TURBOH.160/4,5  60;1;ST
1346953;SEROQUEL FTBL 100MG;60;ST
1346976;CELEBREX HARTKPS 100MG;10;ST
1346982;CELEBREX HARTKPS 100MG;30;ST
1346999;CELEBREX HARTKPS 200MG;10;ST
1347007;CELEBREX HARTKPS 200MG;30;ST
1347208;STABLON DRG 12,5MG;90;ST
1347390;TRADOLAN RET FTBL 100MG;10;ST
1347409;TRADOLAN RET FTBL 100MG;30;ST
1347415;TRADOLAN RET FTBL 100MG;60;ST
1347421;TRADOLAN RET FTBL 150MG;10;ST
1347438;TRADOLAN RET FTBL 150MG;30;ST
1347444;TRADOLAN RET FTBL 150MG;60;ST
1347450;TRADOLAN RET FTBL 200MG;10;ST
1347467;TRADOLAN RET FTBL 200MG;30;ST
1347473;TRADOLAN RET FTBL 200MG;60;ST
1347504;MEPINAEST PUR AMP 0,5% 5ML;5;ST
1347510;MEPINAEST PUR AMP 1% 5ML;5;ST
1347527;MEPINAEST PUR AMP 2% 5ML;5;ST
1347622;COLOFAC RET KPS 200MG;30;ST
1347639;COLOFAC RET KPS 200MG;60;ST
1347697;DIABETEX FTBL  850MG;20;ST
1348001;ENALAPRIL SAN TBL  5MG;28;ST
1348018;ENALAPRIL SAN TBL 10MG;28;ST
1348024;ENALAPRIL SAN TBL 20MG;28;ST
1348053;BEZAFIBRAT RTP RET FTBL 400;30;ST
1348113;HELIXATE NEXGEN  500IE;1;ST
1348136;HELIXATE NEXGEN 1000IE;1;ST
1348633;MENOPUR PLV IJLSG 75/75IE;5;ST
1348656;MENOPUR PLV IJLSG 75/75IE;10;ST
1348981;RINGERLSG FRE PLIFL  500ML;10;ST
1349124;PUREGON IJLSG 300IE;1;ST
1349130;PUREGON IJLSG 600IE;1;ST
1349325;ARTHROTEC MTBL;30;ST
1349331;ARTHROTEC MTBL;50;ST
1349354;RAPAMUNE UEBERZ.TBL 1MG;30;ST
1349360;RAPAMUNE UEBERZ.TBL 1MG;100;ST
1349495;SEROQUEL STARTPKG 4 TAGE;10;ST
1349526;OPTIDERM FETT CR;50;G
1349584;REMICADE PLV ILSG 100MG;2;ST
1349590;VIDEX MSR HARTKPS 250MG;30;ST
1349609;VIDEX MSR HARTKPS 400MG;30;ST
1349615;AMBROHEXAL LSB TBL;20;ST
1349621;AMBROHEXAL LSG 7,5MG/ML;100;ML
1349650;TRAMADOLOR TR 100MG/ML;10;ML
1349667;TRAMADOLOR TR 100MG/ML;30;ML
1349673;TRAMADOLOR AMP 100MG;5;ST
1349710;TRAMADOLOR KPS 50MG;10;ST
1349727;TRAMADOLOR KPS 50MG;30;ST
1349785;ACTOS TBL 15MG;28;ST
1349822;ACTOS TBL 30MG;28;ST
1349957;REMINYL OR LSG 4MG/ML;100;ML
1350038;LESCOL MR FTBL 80MG;28;ST
1350357;BERODUAL DOSAER 200 HUEBE;1;ST
1351003;SERETIDE DRUCKG.INHAL STAND.;1;ST
1351026;SERETIDE DRUCKG.INHAL FTE;1;ST
1351322;AMBROHEXAL LSG 7,5MG/ML;50;ML
1364678;ANAEROBEX FTBL;10;ST
1372867;ZINNAT FTBL 250MG;14;ST
1372873;ZINNAT FTBL 500MG;14;ST
1391793;PEVISONE CR;15;G
1396135;SPORANOX KPS;4;ST
1457109;MUNDIDOL RET FTBL 200MG;10;ST
1457115;MUNDIDOL RET FTBL 200MG;30;ST
1520434;MAALOX KTBL;20;ST
1520552;PROFENID AMP 100MG;5;ST
1520581;PROFENID KPS 100MG;30;ST
1520598;PROFENID KPS 100MG;50;ST
1520606;PROFENID RET KPS 200MG;30;ST
1532839;LIVOSTIN AU-TR;4;ML
1532845;LIVOSTIN NA-SPRAY;10;ML
1553497;OPTIRAY 240MG IFL  50ML;1;ST
1553511;OPTIRAY 320MG IFL  50ML;1;ST
1553528;OPTIRAY 320MG IFL  75ML;1;ST
1573614;OPTIRAY 300MG IFL 100ML;1;ST
1615198;RISPERDAL FTBL 1MG;6;ST
1615206;RISPERDAL FTBL 2MG;60;ST
1615212;RISPERDAL FTBL 3MG;60;ST
1615229;RISPERDAL FTBL 4MG;60;ST
1646827;ERYPO FSPR  4000IE 0,4ML;6;ST
1646833;ERYPO FSPR 10000IE 1,0ML;6;ST
1651248;OPTIRAY 240MG FSPR  50ML;1;ST
1651260;OPTIRAY 300MG FSPR  50ML;1;ST
1651320;OPTIRAY 320MG FSPR  50ML;1;ST
1654873;VISTAGAN AU-TR 0,5%;5;ML
1654896;VISTAGAN AU-TR 0,5% UNKONS.;60;ST
1671914;MOTILIUM OR SUS 1MG/ML;200;ML
1708824;SPORANOX DERM KPS;28;ST
1728301;ERYPO FSPR  1000IE 0,5ML;6;ST
1728318;ERYPO FSPR  2000IE 0,5ML;6;ST
1751168;ICHTHOLAN SLB 10%;40;G
1800688;ICHTHO BAD;130;G
1801015;OCTAGAM  50MG/ML  2,5G/ 50;1;ST
1801021;OCTAGAM  50MG/ML  5G/100ML;1;ST
1801038;OCTAGAM  50MG/ML 10G/200ML;1;ST
1876987;OCTENISEPT LSG;250;ML
2046437;OSPOLOT FTBL  50MG;50;ST
2046443;OSPOLOT FTBL 200MG;50;ST
2394948;VENOFER IJLSG 20MG/ML 5ML;5;ST
2420031;DICLOFENAC SMED FTBL 50MG;30;ST
2420048;DICLOFENAC SMED FTBL 50MG;50;ST
2420054;DICLOFENAC SMED RET TBL  75;30;ST
2420060;DICLOFENAC SMED RET TBL  75;50;ST
2420077;DICLOFENAC SMED RET TBL 100;30;ST
2420083;DICLOFENAC SMED RET TBL 100;50;ST
2420226;SOTAHEXAL TBL  80MG;20;ST
2420232;SOTAHEXAL TBL  80MG;50;ST
2420249;SOTAHEXAL TBL 160MG;20;ST
2420255;SOTAHEXAL TBL 160MG;50;ST
2420396;BISOPROLOL ARC FTBL  5MG;20;ST
2420404;BISOPROLOL ARC FTBL  5MG;50;ST
2420410;BISOPROLOL ARC FTBL 10MG;20;ST
2420427;BISOPROLOL ARC FTBL 10MG;50;ST
2420433;BISOPROLOL ARC/HCT FTBL;20;ST
2420456;BISOPROLOL ARC/HCT FTBL;50;ST
2420462;PAROXAT HEX FTBL 20MG;14;ST
2420605;LANOLEPT TBL  25MG (TEL.GLP);50;ST
2420628;LANOLEPT TBL 100MG (TEL.GLP);60;ST
2420723;ITERIUM TBL 1MG;30;ST
2420775;EPIVIR FTBL 300MG;30;ST
2421295;ZADITEN AU-TR 0,025%;5;ML
2421504;OCTANATE  50IE DFL  250IE;1;ST
2421757;PAROXAT HEX FTBL 40MG;14;ST
2421846;TRAMADOLOR RET TBL 100MG;10;ST
2421852;TRAMADOLOR RET TBL 100MG;30;ST
2421875;TRAMADOLOR RET TBL 150MG;10;ST
2421881;TRAMADOLOR RET TBL 150MG;30;ST
2421906;TRAMADOLOR RET TBL 200MG;10;ST
2421912;TRAMADOLOR RET TBL 200MG;30;ST
2421935;DICLOBENE RAPID FTBL 50MG;10;ST
2421941;TRAMABENE RET TBL 100MG;10;ST
2421958;TRAMABENE RET TBL 100MG;30;ST
2421964;TRAMABENE RET TBL 100MG;60;ST
2422024;APO-GO PEN IJLSG 10MG/ML 3ML;5;ST
2422142;FEMOSTON FTBL CONTI 1MG/5MG;28;ST
2422165;TRITACE TBL 10MG;28;ST
2422225;LOVENOX FSPR 12000IE/0,8ML;10;ST
2422248;LOVENOX FSPR 15000IE/1ML;10;ST
2422254;LOVENOX DFL 30000IE 3ML;1;ST
2422277;HYPREN TBL 10MG;28;ST
2422604;CEREBOKAN FTBL  80MG;30;ST
2422610;CEREBOKAN FTBL  80MG;60;ST
2422780;DETRUSAN TBL 5MG;20;ST
2422797;DETRUSAN TBL 5MG;50;ST
2423130;SINGULAIR KTBL KLEINKIND 4MG;28;ST
2423153;CABASERIL TBL 1MG;30;ST
2423176;CABASERIL TBL 2MG;15;ST
2423182;CABASERIL TBL 2MG;30;ST
2423236;FURON TBL 500MG;20;ST
2423302;INSUMAN RAPID 100IE DFL;5;ST
2423408;ZYVOXID FTBL 600MG;10;ST
2423414;ZYVOXID FTBL 600MG;20;ST
2423472;KALETRA LSG Z.EINNEHMEN;300;ML
2423549;DIAMICRON MR TBL 30MG;30;ST
2423555;DIAMICRON MR TBL 30MG;120;ST
2423590;ERYPO FSPR  6000IE 0,6ML;6;ST
2423791;PARKEMED KPS 250MG;10;ST
2423963;FLUOXETIN GEN OR LSG 20MG/5;70;ML
2424023;BECLOMET INHAL PLV 400MCG;1;ST
2424075;NOVORAPID DFL 10ML;1;ST
2424164;SPIRIVA KPS 18MCG;30;ST
2424218;JOPAMIRO 300MG STAMP  30ML;1;ST
2424425;CLINDAMYCIN RTP KPS 300MG;16;ST
2424483;ROXITHROMYCIN SAN FTBL 150MG;12;ST
2424508;ROXITHROMYCIN SAN FTBL 300MG;7;ST
2424589;REBIF 22MCG FSPR REBIJECT;12;ST
2424595;REBIF 44MCG FSPR REBIJECT;12;ST
2424632;LUVERIS 75IE PLV+LSM;1;ST
2424684;ARANESP FSPR  10MCG 0,4ML;4;ST
2424980;FAMOTIDIN STAD FTBL 20MG;20;ST
2424997;FAMOTIDIN STAD FTBL 20MG;50;ST
2425005;FAMOTIDIN STAD FTBL 40MG;10;ST
2425011;FAMOTIDIN STAD FTBL 40MG;30;ST
2425028;MUTAN FTBL 20MG;14;ST
2425034;MUTAN FTBL 20MG;28;ST
2425117;PENTAGLOBIN 50G/L DFL;50;ML
2425212;SIMVASTATIN HEX FTBL 20MG;30;ST
2425229;SIMVASTATIN HEX FTBL 30MG;30;ST
2425235;SIMVASTATIN HEX FTBL 40MG;30;ST
2425301;ACETOLYT GRAN;300;G
2425620;HYDROXYUREA MEDAC KPS;100;ST
2425761;FLUOXETIN GEN TBL 20MG;14;ST
2425815;SPIRONO GEN TBL 50MG;20;ST
2425821;SPIRONO GEN TBL 50MG;50;ST
2425838;SORTIS FTBL 40MG;30;ST
2425896;CIPROFLOXACIN ARC FTBL 250MG;10;ST
2425904;CIPROFLOXACIN ARC FTBL 250MG;20;ST
2425910;CIPROFLOXACIN ARC FTBL 500MG;10;ST
2425927;CIPROFLOXACIN ARC FTBL 500MG;20;ST
2425962;BISOCOR TBL  5MG;20;ST
2425985;BISOCOR TBL  5MG;50;ST
2425991;BISOCOR TBL 10MG;20;ST
2426022;BISOCOR TBL 10MG;50;ST
2426039;AMOXIPLUS RTP FTBL 1G;10;ST
2426045;ZOLPIDEM RTP FTBL 10MG;10;ST
2426418;ROXITHROSTAD FTBL 150MG;12;ST
2426424;ROXITHROSTAD FTBL 300MG;7;ST
2426430;RANITIDIN STAD FTBL 150MG;20;ST
2426447;RANITIDIN STAD FTBL 150MG;50;ST
2426453;RANITIDIN STAD FTBL 300MG;10;ST
2426476;RANITIDIN STAD FTBL 300MG;30;ST
2426571;SUBSTITOL RET KPS 120MG;10;ST
2426588;SUBSTITOL RET KPS 200MG;10;ST
2426594;MOVALIS IJLSG 15MG/1,5ML AMP;3;ST
2426803;ENNOS FTBL 20MG;14;ST
2426826;ENNOS FTBL 20MG;28;ST
2426996;NOCTOR DRG;20;ST
2427004;XICLAV FTBL  1G;10;ST
2427010;XICLAV FTBL  1G;14;ST
2427062;RELPAX FTBL 20MG;2;ST
2427079;RELPAX FTBL 20MG;6;ST
2427085;RELPAX FTBL 40MG;2;ST
2427091;RELPAX FTBL 40MG;6;ST
2427234;CIPRALEX FTBL  5MG;14;ST
2427240;CIPRALEX FTBL  5MG;28;ST
2427257;CIPRALEX FTBL 10MG;14;ST
2427263;CIPRALEX FTBL 10MG;28;ST
2427435;SEROQUEL FTBL  25MG;60;ST
2427441;SEROQUEL FTBL 300MG;60;ST
2427493;URSOFALK OR SUS 250MG/5ML;250;ML
2427547;EUTHYROX TBL  25MCG;20;ST
2427553;EUTHYROX TBL  25MCG;100;ST
2427576;EUTHYROX TBL 175MCG;20;ST
2427582;EUTHYROX TBL 175MCG;100;ST
2427599;EUTHYROX TBL 200MCG;20;ST
2427607;EUTHYROX TBL 200MCG;100;ST
2427820;REPLAGAL 1MG/ML DFL 3,5ML;1;ST
2427895;LANTUS PEN PATR.;5;ST
2427978;TRAVATAN AU-TR 40MCG 2,5ML;1;ST
2428073;XALACOM AU-TR;2,5;ML
2428185;DICLOSTAD RET FTBL 100MG;50;ST
2428222;CONVULEX RET TBL 300MG;50;ST
2428245;CONVULEX RET TBL 500MG;50;ST
2428357;RANITIDIN RTP FTBL 150MG;20;ST
2428363;RANITIDIN RTP FTBL 150MG;50;ST
2428386;RANITIDIN RTP FTBL 300MG;10;ST
2428392;RANITIDIN RTP FTBL 300MG;30;ST
2428506;PEGINTRON PLV FPEN  50MCG;4;ST
2428529;PEGINTRON PLV FPEN  80MCG;4;ST
2428541;PEGINTRON PLV FPEN 100MCG;4;ST
2428564;PEGINTRON PLV FPEN 120MCG;4;ST
2428587;PEGINTRON PLV FPEN 150MCG;4;ST
2428989;ARIXTRA IJLSG FSPR  2,5MG;10;ST
2428995;CETIRIZIN RTP FTBL 10MG;10;ST
2429003;CETIRIZIN RTP FTBL 10MG;30;ST
2429167;CIPROFLOXACIN SAN FTBL 250MG;10;ST
2429173;CIPROFLOXACIN SAN FTBL 250MG;20;ST
2429196;CIPROFLOXACIN SAN FTBL 500MG;10;ST
2429204;CIPROFLOXACIN SAN FTBL 500MG;20;ST
2429380;ENALAPRIL RTP/HCT 20/12,5MG;30;ST
2429486;BISOSTAD FTBL  5MG;20;ST
2429492;BISOSTAD FTBL  5MG;50;ST
2429500;BISOSTAD FTBL 10MG;20;ST
2429517;BISOSTAD FTBL 10MG;50;ST
2429546;METFORMIN STAD FTBL  850MG;30;ST
2429552;METFORMIN STAD FTBL  850MG;100;ST
2429569;XYZALL FTBL 5MG;7;ST
2429575;XYZALL FTBL 5MG;28;ST
2429635;AMOXIPLUS RTP FTBL 1G;14;ST
2429687;NOVOMIX 30 FLEXPEN;5;ST
2430213;TRILEPTAL OR SUS 60MG/ML;250;ML
2430236;DIOVAN FTBL 160MG;28;ST
2430319;FABRAZYME PLV 35MG DFL;1;ST
2430354;SPIRIVA KPS 18MCG +HANDIHAL.;30;ST
2430377;PAROXETIN ARC FTBL 20MG;14;ST
2430383;PAROXETIN ARC FTBL 20MG;28;ST
2431129;HUMINSULIN BASAL DFL 10ML;2;ST
2431141;HUMINSULIN NORM DFL 10ML;2;ST
2431158;HUMINSULIN PROF III DFL 10ML;2;ST
2431359;CIPROSTAD FTBL 250MG;10;ST
2431365;CIPROSTAD FTBL 250MG;20;ST
2431371;CIPROSTAD FTBL 500MG;10;ST
2431425;HUMALOG DFL 100E/ML 10ML;2;ST
2431483;AUGMENTIN FTBL 1G 875/125MG;14;ST
2431566;RANITIDIN 1A FTBL 300MG;10;ST
2431572;RANITIDIN 1A FTBL 300MG;30;ST
2431690;ENAPRIL TBL  5MG;30;ST
2431709;ENAPRIL TBL 10MG;30;ST
2431715;ENAPRIL TBL 20MG;30;ST
2432011;FAMOTIDIN INT FTBL 40MG;10;ST
2432028;FAMOTIDIN INT FTBL 40MG;30;ST
2432353;ACICLOVIR GEN TBL 400MG;60;ST
2432554;PENTOXI GEN RET FTBL 400MG;20;ST
2432560;PENTOXI GEN RET FTBL 400MG;50;ST
2432577;CIPROMED FTBL 250MG;10;ST
2432583;CIPROMED FTBL 250MG;20;ST
2432608;CIPROMED FTBL 500MG;10;ST
2432614;CIPROMED FTBL 500MG;20;ST
2432643;VFEND FTBL  50MG;10;ST
2432672;VFEND FTBL 200MG;10;ST
2432689;VFEND FTBL 200MG;30;ST
2432755;THROMBOSTAD TBL 100MG;100;ST
2432761;PROTOPIC SLB 0,03%;30;G
2432784;PROTOPIC SLB 0,1%;30;G
2432838;LISINOPRIL ARC TBL  5MG;28;ST
2432850;LISINOPRIL ARC TBL 20MG;28;ST
2432873;ZELDOX HARTKPS 20MG;56;ST
2432896;ZELDOX HARTKPS 40MG;56;ST
2432904;ZELDOX HARTKPS 60MG;56;ST
2432910;ZELDOX HARTKPS 80MG;56;ST
2433097;CIPROFLOXACIN HEX FTBL 250MG;10;ST
2433105;CIPROFLOXACIN HEX FTBL 250MG;20;ST
2433111;CIPROFLOXACIN HEX FTBL 500MG;10;ST
2433128;CIPROFLOXACIN HEX FTBL 500MG;20;ST
2433298;TIRIZIN FTBL 10MG;10;ST
2433306;TIRIZIN FTBL 10MG;30;ST
2433513;DOXAZOSIN RTP TBL 2MG;10;ST
2433559;CIPROFLOXACIN RTP FTBL 250MG;10;ST
2433565;CIPROFLOXACIN RTP FTBL 250MG;20;ST
2433571;CIPROFLOXACIN RTP FTBL 500MG;10;ST
2433588;CIPROFLOXACIN RTP FTBL 500MG;20;ST
2433654;BETAHISTIN RTP TBL  8MG;30;ST
2433660;BETAHISTIN RTP TBL  8MG;100;ST
2433677;BETAHISTIN RTP TBL 16MG;30;ST
2433683;BETAHISTIN RTP TBL 16MG;60;ST
2433708;LISINOPRIL RTP TBL  5MG;30;ST
2433714;LISINOPRIL RTP TBL 10MG;30;ST
2433720;LISINOPRIL RTP TBL 20MG;30;ST
2433909;MONDEAL FTBL 10MG;10;ST
2433944;TRILEPTAL FTBL 150MG;100;ST
2433950;TRILEPTAL FTBL 300MG;100;ST
2433967;TRILEPTAL FTBL 600MG;100;ST
2434116;ZOLDEM FTBL 10MG;10;ST
2434139;TRAMADOLOR RET TBL 100MG;60;ST
2434145;TRAMADOLOR RET TBL 150MG;60;ST
2434151;TRAMADOLOR RET TBL 200MG;60;ST
2434168;FUROHEXAL TBL  80MG;30;ST
2434205;CLAVAMOX FTBL 1G;14;ST
2434369;EBIXA PUMPENHUB 5MG LSG;50;ML
2434501;DIOVAN FTBL  80MG;28;ST
2434518;LISINOPRIL INT TBL  5MG;28;ST
2434530;LISINOPRIL INT TBL 10MG;28;ST
2434553;LISINOPRIL INT TBL 20MG;28;ST
2434702;NAVELBINE KPS 20MG;1;ST
2434719;NAVELBINE KPS 30MG;1;ST
2434808;FLUCOSEPT KPS 150MG;1;ST
2434814;FLUCOSEPT KPS 150MG;2;ST
2434820;FLUCOSEPT KPS 150MG;4;ST
2434866;ESTRADOT PFL  37,5MCG/24H;8;ST
2434872;ESTRADOT PFL  50MCG/24H;8;ST
2434889;ESTRADOT PFL  75MCG/24H;8;ST
2434955;IMMUCOTHEL TRSUB LSM  1MG;1;ST
2434961;IMMUCOTHEL TRSUB LSM 10MG;1;ST
2434990;DICLOBENE UNO RET TBL 150MG;10;ST
2435009;DICLOBENE UNO RET TBL 150MG;20;ST
2435191;GABAPENTIN RTP KPS 300MG;100;ST
2435216;GABAPENTIN RTP KPS 400MG;100;ST
2435245;SIMVASTATIN RTP FTBL 20MG;30;ST
2435251;SIMVASTATIN RTP FTBL 40MG;30;ST
2435268;SIMVATIN FTBL 20MG;30;ST
2435274;SIMVATIN FTBL 40MG;30;ST
2435280;CRESTOR FTBL 10MG;30;ST
2435297;CRESTOR FTBL 20MG;30;ST
2435305;CRESTOR FTBL 40MG;30;ST
2435392;SIMVASTATIN GEN FTBL 20MG;30;ST
2435400;SIMVASTATIN GEN FTBL 40MG;30;ST
2435417;FAMOTIDIN GEN FTBL 20MG;20;ST
2435423;FAMOTIDIN GEN FTBL 40MG;10;ST
2435446;FAMOSIN FTBL 20MG;20;ST
2435452;FAMOSIN FTBL 20MG;50;ST
2435469;FAMOSIN FTBL 40MG;10;ST
2435475;FAMOSIN FTBL 40MG;30;ST
2435529;FAMOTIDIN GEN FTBL 20MG;50;ST
2435535;FAMOTIDIN GEN FTBL 40MG;30;ST
2436049;DOXAZOSIN ARC TBL 4MG;28;ST
2436227;SORTIS FTBL 80MG;30;ST
2436316;AXURA PUMPENHUB LSG 5MG;50;ML
2436411;PEGASYS FSPR 135MCG;4;ST
2436434;CIPROSTAD FTBL 500MG;20;ST
2436457;HIBADREN TBL 2MG;28;ST
2436463;HIBADREN TBL 4MG;28;ST
2436486;CETIRISTAD FTBL 10MG;10;ST
2436492;CETIRISTAD FTBL 10MG;30;ST
2436581;SPIROHEXAL TBL 100MG;20;ST
2436598;SPIROHEXAL TBL 100MG;50;ST
2436612;PEGASYS FSPR 180MCG;4;ST
2436753;GABAPENTIN TOR KPS 300MG;100;ST
2436807;NOCUTIL NA-SPRAY 0,1MG/ML;6;ML
2436842;TRACLEER  62,5MG(BEST.PLA);56;ST
2436894;TRACLEER 125MG(BEST.PLA);56;ST
2436977;ENBREL PLV+LSM 25MG DFL;4;ST
2437126;AMOXICOMP GEN FTBL 1G;14;ST
2437149;IXEL KPS 25MG;56;ST
2437296;ALPRAZOLAM RTP TBL 0,5MG;20;ST
2437304;ALPRAZOLAM RTP TBL 0,5MG;50;ST
2437310;ALPRAZOLAM RTP TBL 1MG;20;ST
2437327;ALPRAZOLAM RTP TBL 1MG;50;ST
2437391;AMOXICOMP GEN FTBL 1G;10;ST
2437416;ENALAPRIL GEN TBL  5MG;30;ST
2437422;ENALAPRIL GEN TBL 10MG;30;ST
2437439;ENALAPRIL GEN TBL 20MG;30;ST
2437445;RIVACOR FTBL  5MG;20;ST
2437451;RIVACOR FTBL  5MG;50;ST
2437468;RIVACOR FTBL 10MG;20;ST
2437474;RIVACOR FTBL 10MG;50;ST
2437497;LORATADIN ARC FTBL 10MG;10;ST
2437505;LORATADIN ARC FTBL 10MG;30;ST
2437511;DANCOR TBL 10MG;30;ST
2437528;DANCOR TBL 10MG;60;ST
2437534;DANCOR TBL 20MG;30;ST
2437540;DANCOR TBL 20MG;60;ST
2437712;FLUOXETIN GEN KPS 40MG;14;ST
2437729;FLUOXETIN GEN KPS 40MG;30;ST
2437801;AMBROXOL GEN TBL LSL 60MG;20;ST
2437818;CIPROFLOXACIN GEN FTBL 250MG;10;ST
2437824;CIPROFLOXACIN GEN FTBL 250MG;20;ST
2437830;CIPROFLOXACIN GEN FTBL 500MG;10;ST
2437847;CIPROFLOXACIN GEN FTBL 500MG;20;ST
2437853;DOXAZOSIN GEN TBL 2MG;10;ST
2437876;DOXAZOSIN GEN TBL 2MG;30;ST
2437882;DOXAZOSIN GEN TBL 4MG;30;ST
2437899;RITALIN LA KPS 20MG;30;ST
2437907;RITALIN LA KPS 30MG;30;ST
2438031;RAPAMUNE UEBERZ.TBL 2MG;30;ST
2438048;RAPAMUNE UEBERZ.TBL 2MG;100;ST
2438367;ZOMIG NA-SPRAY 5MG;2;ST
2438396;RISPERDAL CONSTA DFL 25MG;1;ST
2438404;RISPERDAL CONSTA DFL 37,5MG;1;ST
2438410;RISPERDAL CONSTA DFL 50MG;1;ST
2438485;ATENOLOL 1A FTBL  50MG;20;ST
2438491;ATENOLOL 1A FTBL  50MG;50;ST
2438516;ATENOLOL 1A FTBL 100MG;20;ST
2438522;ATENOLOL 1A FTBL 100MG;50;ST
2438686;TRAMADOL 1A TR 100MG/ML;10;ML
2438692;TRAMADOL 1A TR 100MG/ML;30;ML
2438700;TRAMADOL 1A KPS 50MG;10;ST
2438717;TRAMADOL 1A KPS 50MG;30;ST
2438723;FUROSEMID 1A TBL 40MG;20;ST
2438746;FUROSEMID 1A TBL 40MG;50;ST
2438752;FLUOXETIN 1A KPS 20MG;14;ST
2438775;CIPROFLOXACIN 1A FTBL 250MG;10;ST
2438781;CIPROFLOXACIN 1A FTBL 250MG;20;ST
2438798;CIPROFLOXACIN 1A FTBL 500MG;10;ST
2438806;CIPROFLOXACIN 1A FTBL 500MG;20;ST
2439042;BCG MEDAC PLV+LSM DFL;1;ST
2439071;VENORUTON GRAN 1000MG    BTL;16;ST
2439332;CITALOPRAM SAN FTBL 10MG;14;ST
2439355;CITALOPRAM SAN FTBL 20MG;14;ST
2439384;FLUCONAZOL RTP KPS  50MG;7;ST
2439390;FLUCONAZOL RTP KPS 100MG;7;ST
2439409;FLUCONAZOL RTP KPS 150MG;1;ST
2439415;FLUCONAZOL RTP KPS 150MG;2;ST
2439421;FLUCONAZOL RTP KPS 150MG;4;ST
